GemName;Usage(GS);%Usage;Usage(NR);Downloads
refraction;9;0,0123;107;16379
shadow_puppet;6;0,0082;9;16719
typus;8;0,0109;159;29946
yaml_db;18;0,0245;106;28218
haml_rails;1;0,0014;1;634
yql;1;0,0014;2;901
business_time;3;0,0041;39;36598
statistics;3;0,0041;14;3381
arel;4;0,0054;6261;3881843
rack-contrib;10;0,0136;118;42857
gravtastic;17;0,0232;221;41300
aws-sdk;6;0,0082;23;12777
bunny;5;0,0068;81;443082
state_machine-audit_trail;3;0,0041;4;865
rails3-settings;2;0,0027;9;730
panda;8;0,0109;82;20028
indeed;1;0,0014;1;2200
redirect_follower;1;0,0014;3;2014
httpclient;22;0,03;611;289144
multi_xml;1;0,0014;1033;273414
rails-settings;7;0,0095;63;7414
smg;1;0,0014;1;2108
subdomain_routes;4;0,0054;14;3033
yandex_inflect;4;0,0054;6;1332
gruff;5;0,0068;63;55664
tinymce_hammer;2;0,0027;2;406
girl_friday;2;0,0027;13;1539
socky-server;1;0,0014;3;2711
rainbow;4;0,0054;36;20901
globalize2;1;0,0014;17;5860
radius;1;0,0014;18;10374
oniguruma;3;0,0041;33;32042
coffee-filter;5;0,0068;16;3422
psych;2;0,0027;4;4690
gchartrb;4;0,0054;108;31246
paul_revere;2;0,0027;5;2767
rack-maintenance;1;0,0014;3;2536
validates_url_format_of;2;0,0027;18;11854
extendmatrix;2;0,0027;5;4938
distribution;2;0,0027;4;18148
dirty-memoize;2;0,0027;5;3951
reportbuilder;2;0,0027;5;7403
rubyvis;3;0,0041;7;8076
statsample;2;0,0027;7;15384
statistics2;7;0,0095;25;19190
chalofa_ruby-progressbar;2;0,0027;16;11125
perftools.rb;6;0,0082;32;21928
rack-noie;2;0,0027;4;882
better_partials;2;0,0027;4;1315
permalink_fu;5;0,0068;74;11449
aws-cloudfront;1;0,0014;5;1656
inline-style;1;0,0014;8;2834
prowl;3;0,0041;4;2573
dropbox;2;0,0027;52;16209
single_test;1;0,0014;6;5189
akephalos;13;0,0177;36;21406
selenium;3;0,0041;8;7573
decoder;2;0,0027;5;3722
signature;1;0,0014;159;24474
guard-sass;3;0,0041;4;6141
decent_exposure;16;0,0218;105;22598
smart_asset;1;0,0014;11;6118
gritter;4;0,0054;20;3216
magic_encoding;5;0,0068;5;5227
rubyjedi-soap4r;1;0,0014;12;3949
dm-salesforce-adapter;1;0,0014;1;725
dm-mysql-adapter;4;0,0054;16;40333
dm-sqlite-adapter;3;0,0041;5;74725
randexp;5;0,0068;20;32126
data_objects;1;0,0014;32;242217
dm-core;2;0,0027;31;203014
dm-types;3;0,0041;29;126488
dm-aggregates;3;0,0041;27;135896
dm-validations;3;0,0041;28;144404
dm-migrations;4;0,0054;26;161982
dm-timestamps;3;0,0041;26;147669
dm-is-list;1;0,0014;6;15454
dm-transactions;3;0,0041;18;73832
twilio;4;0,0054;59;22359
toadhopper;1;0,0014;13;55851
sunspot;14;0,0191;522;112357
bb-ruby;1;0,0014;22;8469
radiant;2;0,0027;15;50046
capistrano-deepmodules;1;0,0014;5;1047
bert;1;0,0014;17;11809
cgi_multipart_eof_fix;7;0,0095;446;561499
fastthread;11;0,015;613;1300673
ferret;1;0,0014;51;60479
jeweler;2;0,0027;78;162524
lady_gaga;1;0,0014;1;93
logging;6;0,0082;69;111782
packet;4;0,0054;131;45540
rack-bert-rpc;1;0,0014;1;1244
rubytter;1;0,0014;1;24183
trollop;4;0,0054;248;251769
spatial_adapter;4;0,0054;45;11686
progress;2;0,0027;5;11428
diff-lcs;10;0,0136;1703;1559293
vlad;9;0,0123;37;29974
vlad-git;8;0,0109;25;16330
termios;1;0,0014;13;22482
honeypot-captcha;2;0,0027;14;6269
tolk;4;0,0054;22;1683
dupe;2;0,0027;9;13053
gdata_19;3;0,0041;36;5882
paranoia;3;0,0041;18;3509
groupme-paddock;1;0,0014;5;1784
tinymce-rails;2;0,0027;1;2498
fancybox-rails;7;0,0095;8;2106
serve;1;0,0014;2;13962
eu_central_bank;1;0,0014;11;3923
sinatra-namespace;1;0,0014;2;3407
httpi;3;0,0041;189;100169
wkhtmltopdf-binary;2;0,0027;38;15824
wirb;2;0,0027;11;13258
pdf-reader;6;0,0082;298;112930
prawn_rails;3;0,0041;13;4180
query_reviewer;7;0,0095;22;2259
pdf-inspector;4;0,0054;2;618
formalize-rails;2;0,0027;1;620
auto_html;3;0,0041;29;6943
i18n_routing;6;0,0082;38;15536
navvy;2;0,0027;16;6683
rchardet19;1;0,0014;3;475
colorize;5;0,0068;12;13273
stalker;5;0,0068;27;11854
ruby-tmdb;1;0,0014;7;3099
ruby-growl;8;0,0109;37;27793
coffee-haml-filter;1;0,0014;1;1152
ruby-oci8;9;0,0123;41;76449
activerecord-oracle_enhanced-adapter;7;0,0095;54;62094
ruby-plsql;1;0,0014;15;13274
oracle_ebs_authentication;1;0,0014;1;391
ruby-ole;4;0,0054;384;192144
rubyntlm;1;0,0014;911;188182
jira4r;3;0,0041;11;5829
exchanger;1;0,0014;1;508
database_loader;1;0,0014;1;490
Platform;3;0,0041;783;177827
win32-open3;3;0,0041;4;20577
sunspot_matchers;4;0,0054;12;2984
simple_progressbar;1;0,0014;2;2405
headjs-rails;1;0,0014;7;2340
traceroute;1;0,0014;2;858
pjax-rails;1;0,0014;1;1028
rack-offline;2;0,0027;22;5209
guard-shell;7;0,0095;1;3892
tophat;1;0,0014;1;1171
crypt19;2;0,0027;8;2640
gollum;2;0,0027;4;10987
brnumeros;1;0,0014;22;28589
time_diff;3;0,0041;20;1854
gbarcode;1;0,0014;21;36456
icalendar;7;0,0095;206;120718
base32;2;0,0027;15;5144
paypal_nvp;1;0,0014;6;4176
mimetype-fu;6;0,0082;119;13026
escape;1;0,0014;586;181857
xmlcanonicalizer;1;0,0014;12;2476
ruby-saml;3;0,0041;15;3946
edouard-rchardet;1;0,0014;2;595
flexmock;3;0,0041;39;92242
thor;7;0,0095;6340;3404145
slug;1;0,0014;5;4375
fattr;5;0,0068;312;198701
map;3;0,0041;36;26605
arrayfields;5;0,0068;172;128319
heroku_backup_task;4;0,0054;88;7036
dm-pager;1;0,0014;8;16986
thrift;5;0,0068;55;71785
ruby-imagespec;2;0,0027;9;2732
actionpack;4;0,0054;7412;6074232
actionmailer;5;0,0068;7410;5989372
dm-rails;2;0,0027;23;24017
dm-postgres-adapter;1;0,0014;12;25266
dm-constraints;1;0,0014;17;90509
dm-observer;1;0,0014;14;39983
dm-serializer;2;0,0027;21;102631
dm-zone-types;1;0,0014;2;2195
dm-accepts_nested_attributes;1;0,0014;4;3822
activemodel;2;0,0027;6266;4003618
dm-do-adapter;1;0,0014;27;114946
dm-active_model;1;0,0014;23;28465
dm-is-state_machine;1;0,0014;3;12067
dm-paperclip;1;0,0014;5;6444
jkraemer-pdf-forms;1;0,0014;1;0
sage_pay;1;0,0014;2;6366
levinalex-base32;1;0,0014;3;0
rspec-instafail;14;0,0191;86;76756
tmail;10;0,0136;159;112116
snmp;1;0,0014;11;24024
mongomapper_ext;1;0,0014;11;10080
jnunemaker-validatable;4;0,0054;178;94740
mm-devise;3;0,0041;32;5037
compass-less-plugin;1;0,0014;5;2339
magic;5;0,0068;6;9787
ruby-filemagic;5;0,0068;13;8147
rails_warden;3;0,0041;27;14927
mail_safe;8;0,0109;70;13088
git_remote_branch;2;0,0027;5;22959
htmldiff;2;0,0027;23;4125
net-ping;1;0,0014;13;20685
random_data;3;0,0041;34;15348
tropo-webapi-ruby;2;0,0027;14;5105
babosa;4;0,0054;750;185425
rspec_junit_formatter;1;0,0014;1;259
guard-sprockets;1;0,0014;1;417
devise_ldap_authenticatable;3;0,0041;7;11344
ar-octopus;1;0,0014;23;20879
activerecord-import;14;0,0191;117;40129
guard-minitest;6;0,0082;4;4329
scheduler_daemon;3;0,0041;3;1003
nestful;3;0,0041;12;6139
on_the_spot;1;0,0014;15;7148
translate-rails3;3;0,0041;6;806
codebase;1;0,0014;6;9895
delayed_paperclip;7;0,0095;101;17365
ar-extensions;4;0,0054;140;45052
msgpack;2;0,0027;37;46627
sprinkle;5;0,0068;1;9039
sunspot_plus;1;0,0014;1;627
progress_bar;4;0,0054;9;1900
twilio-ruby;8;0,0109;41;7902
libmemcached_store;2;0,0027;5;1970
validate_url;7;0,0095;18;4315
orderedhash;3;0,0041;47;14602
zippy;3;0,0041;25;4508
text-reform;2;0,0027;17;4960
tumblr-api;1;0,0014;12;2136
commission_junction;1;0,0014;5;3698
active_scaffold_vho;4;0,0054;13;6803
active_hash;5;0,0068;34;23809
ruby-ldap;1;0,0014;8;16210
irbtools;6;0,0082;9;16348
delsolr;2;0,0027;5;6916
ruby-mysql;1;0,0014;49;52998
capistrano-campfire;3;0,0041;8;1965
goalie;1;0,0014;15;4646
sorcery;8;0,0109;8;6145
ejs;5;0,0068;28;6132
delayed_job_mongo_mapper;2;0,0027;13;1534
mongo_session_store-rails3;1;0,0014;1;464
asset_sync;2;0,0027;4;1476
defender;1;0,0014;6;4634
clockwork;2;0,0027;41;14072
padrino-helpers;1;0,0014;2;63517
rtex;1;0,0014;7;5328
kathy_lee;1;0,0014;3;1300
heroku_cloud_backup;1;0,0014;10;1071
yamler;2;0,0027;220;69577
dj_remixes;1;0,0014;11;5288
markdownizer;1;0,0014;2;2404
ffi;11;0,015;1122;1024919
css3buttons;7;0,0095;19;4891
translate_routes;3;0,0041;34;3786
watir-webdriver;2;0,0027;12;33561
sentient_user;2;0,0027;22;5999
lorem;1;0,0014;18;5578
erb2haml;4;0,0054;2;1885
webrobots;3;0,0041;119;50491
acts_as_versioned;4;0,0054;36;11345
rack-google_analytics;3;0,0041;13;3318
ruby-debug-base19x;1;0,0014;1;5454
writeexcel;5;0,0068;11;10488
mm-carrierwave;3;0,0041;4;811
fraction;1;0,0014;3;1236
acts_as_king;1;0,0014;1;215
mm-sluggable;4;0,0054;2;747
voteable_mongo;2;0,0027;7;928
convertable_values;1;0,0014;1;835
rcomet;1;0,0014;2;660
feed-normalizer;2;0,0027;70;21199
km;1;0,0014;18;1893
tax_cloud;1;0,0014;1;110
net-ssh-multi;1;0,0014;9;195892
acts_as_shopping_cart;2;0,0027;1;218
flow_pagination;1;0,0014;2;1364
readable_random;1;0,0014;7;1384
vidibus-routing_error;5;0,0068;15;6534
to_csv-rails;1;0,0014;1;254
schema_plus;5;0,0068;5;755
enumerated_attribute;7;0,0095;44;14204
log_buddy;5;0,0068;15;15831
google_analytics;1;0,0014;11;3225
viewtastic;3;0,0041;6;2041
permanent_records;2;0,0027;11;3300
rack-bug;6;0,0082;32;10542
thumbs_up;5;0,0068;25;5950
impressionist;1;0,0014;6;1117
paths_of_glory;3;0,0041;3;2129
multipart-post;5;0,0068;1986;528939
premailer;4;0,0054;51;12387
trinidad;3;0,0041;5;19772
ffi-ncurses;5;0,0068;2;10276
mobile-fu;1;0,0014;6;6882
rspreedly;3;0,0041;25;6060
tlsmail;6;0,0082;130;54155
mongoid_rails_migrations;6;0,0082;50;12980
mongoid_acts_as_tree;5;0,0068;10;3792
numeric_array;1;0,0014;1;656
flickraw-cached;1;0,0014;17;4507
feedbag;1;0,0014;14;2712
looper;1;0,0014;2;676
superfeedr-ruby;1;0,0014;2;2294
yelp4r;1;0,0014;3;1063
skates;1;0,0014;2;9322
roauth;1;0,0014;61;23758
simple_oauth;1;0,0014;563;152316
resque-jobs-per-fork;1;0,0014;6;3847
easy_translate;2;0,0027;9;5955
bayes_motel;2;0,0027;9;777
cubicle;1;0,0014;1;13891
geo_calc;1;0,0014;2;989
configuration;3;0,0041;1490;669325
mongoid_taggable;6;0,0082;19;5722
mebla;1;0,0014;2;1545
jekyll;2;0,0027;4;54904
pygments.rb;1;0,0014;1;5228
rubypants;3;0,0041;22;16086
wicked_pdf;12;0,0163;49;7366
capistrano-mountaintop;1;0,0014;2;702
guard-jammit;1;0,0014;3;1880
guard-haml;1;0,0014;1;886
strongbox;1;0,0014;29;10302
ruby-factual;3;0,0041;4;2639
tanker;4;0,0054;29;5478
eco;3;0,0041;7;1698
heroku_san;9;0,0123;120;20592
specjour;2;0,0027;4;15332
pjax_rails;2;0,0027;7;1333
term-ansicolor;5;0,0068;1490;1060055
frontend-helpers;4;0,0054;2;2725
itslog;12;0,0163;5;5196
html_truncator;7;0,0095;18;3557
acts_as_event_owner;1;0,0014;1;1717
authorize-net;2;0,0027;14;1062
message_block;1;0,0014;7;2059
papercavalier-ruby-aaws;2;0,0027;3;961
rack-timeout;3;0,0041;68;8069
timeline_fu;2;0,0027;37;2660
rspec-rails-matchers;1;0,0014;10;2757
rails-default-database;1;0,0014;2;833
pry-rails;3;0,0041;1;747
juggernaut;5;0,0068;43;24648
informal;1;0,0014;12;1435
zookeeper;1;0,0014;3;4699
resque-statsd;1;0,0014;1;229
lascivious;1;0,0014;1;79
ap;1;0,0014;2;2105
capfire;4;0,0054;1;2239
bigamy;1;0,0014;1;2380
ClothRed;1;0,0014;6;4612
formatize;5;0,0068;30;4977
harvest;1;0,0014;2;576
i18n-active_record;2;0,0027;26;2831
parslet;1;0,0014;3;7241
cap_gun;1;0,0014;13;17207
multipass;7;0,0095;85;18207
apn_sender;3;0,0041;23;5977
url_store;1;0,0014;8;2148
sendgrid_toolkit;2;0,0027;26;5865
citrusbyte-is_taggable;1;0,0014;8;0
pagination;1;0,0014;4;4482
micromachine;1;0,0014;7;2751
resque-exceptional;3;0,0041;18;2476
delayed_job_admin;2;0,0027;30;3158
rack-canonical-host;1;0,0014;17;2323
html5-rails;1;0,0014;1;184
compass-html5;1;0,0014;4;524
composite_primary_keys;6;0,0082;81;67854
livereload;3;0,0041;7;13464
bitmask_attributes;1;0,0014;2;686
amazon-ec2;6;0,0082;70;163240
hiredis;10;0,0136;79;45452
progressbar;14;0,0191;136;61034
eventmachine_httpserver;6;0,0082;5;58818
jslintrb_v8;2;0,0027;1;635
em-proxy;2;0,0027;5;5289
us_states_select;2;0,0027;11;1680
associate_by;1;0,0014;1;1402
cached_values;1;0,0014;2;2947
sasha;1;0,0014;1;457
jruby-jars;2;0,0027;46;124259
warbler;4;0,0054;11;80466
childprocess;4;0,0054;968;696869
chunky_png;9;0,0123;742;263424
directory_watcher;4;0,0054;6;62740
fast-stemmer;2;0,0027;54;45619
fssm;3;0,0041;684;200484
posix-spawn;2;0,0027;18;27079
roodi;9;0,0123;167;98505
ruby-picasa;1;0,0014;6;1062
guard-test;7;0,0095;12;7154
prawnto;5;0,0068;52;12006
active_device;1;0,0014;10;3068
brightbox;2;0,0027;14;12733
alexrabarts-iso_country_codes;1;0,0014;3;0
switch_user;4;0,0054;20;4282
contador;1;0,0014;1;915
autotest-rails-pure;6;0,0082;17;39942
rockstar;2;0,0027;3;2405
hirb-unicode;3;0,0041;3;2670
ensure-encoding;1;0,0014;2;1259
tabletastic;1;0,0014;20;7599
puret;2;0,0027;15;2616
autotest-notification;3;0,0041;23;27878
brcpfcnpj;1;0,0014;29;27660
sentinel;1;0,0014;1;2063
geminstaller;1;0,0014;2;25594
net-sftp;14;0,0191;1434;951261
compass-colors;3;0,0041;37;18289
hourly_backup;3;0,0041;3;464
edave-gdata4ruby;1;0,0014;3;489
edave-gcal4ruby;2;0,0027;2;678
gdocs4ruby;2;0,0027;10;4892
redis-dump;1;0,0014;1;1694
drydock;1;0,0014;1;9686
zendesk_remote_auth;2;0,0027;60;17090
deadlock_retry;3;0,0041;21;1513
cucumber_spinner;2;0,0027;2;3904
loofah-activerecord;3;0,0041;2;1321
rvideo;5;0,0068;31;7582
themes_for_rails;4;0,0054;22;8848
lacquer;2;0,0027;5;4472
monocle;1;0,0014;1;175
timecode;2;0,0027;1;3919
file-tail;1;0,0014;89;219714
apachelogregex;2;0,0027;7;4002
people_places_things;1;0,0014;3;5963
rest-client-components;1;0,0014;9;8897
revo-ssl_requirement;2;0,0027;8;11121
values_for;1;0,0014;3;4713
warden;15;0,0204;3335;1019469
dbi;1;0,0014;28;78345
jslint_on_rails;10;0,0136;30;15013
exact-target;1;0,0014;2;186
jada-finance;1;0,0014;2;0
win32console;5;0,0068;2;37728
resque_unit;7;0,0095;13;13288
cuporter;1;0,0014;1;9493
mailtrap;1;0,0014;7;4315
restful_query;2;0,0027;3;2650
postageapp;3;0,0041;15;6945
redis-namespace;16;0,0218;909;351245
testbot;2;0,0027;1;8137
extlib;1;0,0014;61;457484
main;3;0,0041;180;138042
devise_rpx_connectable;2;0,0027;31;6387
googl;2;0,0027;8;3730
apn_on_rails;2;0,0027;73;17963
em-synchrony;3;0,0041;48;21743
rb-readline;1;0,0014;5;4528
wikipedia-client;1;0,0014;5;2111
mixology;1;0,0014;3;3338
trac4r;1;0,0014;1;2937
route53;1;0,0014;4;4948
libexcel;1;0,0014;1;1521
google_chart_ssl;1;0,0014;1;229
shibboleth-rails;1;0,0014;1;222
viewpoint;1;0,0014;3;6802
mongoid_slug;7;0,0095;75;17559
ruby-mcrypt;1;0,0014;3;1349
gravatar-ultimate;2;0,0027;9;2060
cobravsmongoose;2;0,0027;20;4120
kgio;7;0,0095;702;312490
couchrest;2;0,0027;73;49572
breadcrumbs_on_rails;17;0,0232;55;11934
video_info;1;0,0014;10;3418
rspec-rails-mocha;2;0,0027;3;3400
activo-rails;2;0,0027;3;1096
attrtastic;4;0,0054;13;5443
excel_rails;3;0,0041;1;1563
irwi;1;0,0014;7;8369
gmaps_directions;1;0,0014;1;330
rcov_rails;2;0,0027;8;7862
chameleon;1;0,0014;5;1316
patron;2;0,0027;50;30054
geo-distance;1;0,0014;4;1007
active_record_defaults;2;0,0027;8;1905
symboltable;1;0,0014;1;1398
yaml_model;1;0,0014;2;1045
amatch;5;0,0068;42;22161
base62;1;0,0014;22;6406
mongoid-history;1;0,0014;9;1698
warden_oauth;1;0,0014;20;6229
quasi;1;0,0014;4;1300
mongoid_fulltext;1;0,0014;7;1322
delayed_task;1;0,0014;12;1267
frac;1;0,0014;3;1546
to_xls;1;0,0014;24;7003
mongoid_collection_snapshot;1;0,0014;1;147
subexec;1;0,0014;420;149535
net-ssh;18;0,0245;2168;1849563
net-ssh-gateway;1;0,0014;1311;1060104
scrapi;1;0,0014;15;9196
texp;1;0,0014;2;697
tidy;2;0,0027;38;17292
stomp;8;0,0109;70;112274
ruby-hl7;1;0,0014;5;3645
acts_as_singleton;1;0,0014;13;6171
mongoid_geo;1;0,0014;11;4630
wordnik;1;0,0014;3;3128
websocket-rack;1;0,0014;1;1019
rscribd;4;0,0054;39;14628
scribd_fu;1;0,0014;13;3674
guard-jasmine-headless-webkit;3;0,0041;5;1539
google_directions;1;0,0014;3;1867
RubySunrise;1;0,0014;3;1288
sundawg_country_codes;1;0,0014;4;2241
what_methods;5;0,0068;18;14690
cijoe;1;0,0014;6;9954
looksee;13;0,0177;28;46741
fancy_irb;1;0,0014;10;11124
method_lister;1;0,0014;1;1567
railroad;6;0,0082;20;21992
validate_email;1;0,0014;14;2899
bibtex-ruby;1;0,0014;1;2612
latex-decode;1;0,0014;1;426
transloadit-rails;1;0,0014;2;413
unicode_utils;2;0,0027;25;10461
r18n-core;1;0,0014;5;15958
pr_geohash;1;0,0014;386;73826
shotgun;8;0,0109;2;66325
bluepill;3;0,0041;35;53249
chronic_duration;3;0,0041;35;21279
sinatra-respond_to;1;0,0014;6;7157
rack-force_domain;1;0,0014;11;1676
admin_data;1;0,0014;37;18431
queue_classic;1;0,0014;2;1324
dnsruby;1;0,0014;5;18329
super_map;6;0,0082;1;778
rubytree;2;0,0027;60;30888
juicer;4;0,0054;10;14721
shoulda-context;1;0,0014;10;10297
automatic_foreign_key;8;0,0109;14;7435
redhillonrails_core;4;0,0054;28;10730
hyper-graph;2;0,0027;7;3873
google_static_maps_helper;2;0,0027;4;5502
inline_attachment;2;0,0027;5;4844
juicer-rails;4;0,0054;1;598
acts_as_sanitiled;2;0,0027;15;3467
postgres;2;0,0027;30;89696
site_meta;2;0,0027;1;2110
kpi;1;0,0014;2;992
goliath;3;0,0041;4;7685
jsonpath;1;0,0014;3;14288
fcgi;1;0,0014;5;108718
dutchfaker;1;0,0014;1;916
dkim;2;0,0027;5;718
face;1;0,0014;3;3412
klarlack;1;0,0014;6;2906
split;2;0,0027;7;1032
raibo;1;0,0014;2;313
carrierwave-mongoid;5;0,0068;16;4355
carrierwave_backgrounder;1;0,0014;12;1300
mongoid_search;6;0,0082;32;5226
random-word-generator;1;0,0014;3;1101
xero_gateway;1;0,0014;7;2236
logglier;2;0,0027;3;2998
guard-migrate;1;0,0014;1;695
thread-dump;1;0,0014;1;1557
acts_as_audited_rails3;1;0,0014;13;3514
xmpp4r;4;0,0054;41;86823
xmpp4r-simple;2;0,0027;9;10421
backgrounded;1;0,0014;4;3875
resque-ensure-connected;2;0,0027;3;8370
wireframe-rpm_contrib;1;0,0014;1;1906
cronedit;3;0,0041;13;5248
mattetti-googlecharts;1;0,0014;22;0
acts_as_stripped;1;0,0014;3;1983
opengraph;1;0,0014;9;3276
notify_if_invalid;1;0,0014;1;1024
opentoken;1;0,0014;1;904
good_touch;1;0,0014;1;792
elastic_searchable;2;0,0027;2;4750
detect_browser_os;1;0,0014;2;463
delete_paranoid;1;0,0014;2;749
rack-oauth2;2;0,0027;139;32596
has-bit-field;1;0,0014;2;1495
guard-jslint-on-rails;2;0,0027;1;375
open_gem;3;0,0041;20;34987
rio;1;0,0014;38;14875
placefinder;1;0,0014;2;438
ruby-readability;1;0,0014;5;2469
dirty;1;0,0014;2;1217
yardstick;1;0,0014;4;5709
memcached-northscale;1;0,0014;187;19977
time-warp;3;0,0041;10;5344
asset_hash;1;0,0014;5;701
abstract;8;0,0109;5958;2942165
chinese_permalink;1;0,0014;2;2469
simple_nested_set;1;0,0014;4;8616
ipaddress;2;0,0027;10;9376
apotomo;2;0,0027;18;9149
url_shortener;2;0,0027;30;5285
shorturl;1;0,0014;11;9632
credit_card_validator;1;0,0014;5;2313
oily_png;4;0,0054;43;10314
scout;1;0,0014;17;86936
alias;1;0,0014;12;12834
rightstuff;1;0,0014;1;1627
rb-appscript;1;0,0014;6;32177
ransack;7;0,0095;9;3312
limerick_rake;2;0,0027;5;842
bborn-desert;1;0,0014;1;679
bborn-simplepay;1;0,0014;1;750
rush;2;0,0027;130;85554
acts_as_textcaptcha;1;0,0014;5;5760
colored;3;0,0041;210;125642
rack-fiber_pool;2;0,0027;30;9431
thoughtbot-sortable_table;1;0,0014;10;0
entp-multipass;1;0,0014;3;0
pedantic;1;0,0014;1;744
throne;1;0,0014;1;2196
fakeweb-matcher;4;0,0054;4;4273
google-api-client;1;0,0014;6;2927
aws_cf_signer;2;0,0027;5;1525
lu-tze;1;0,0014;2;2004
linguist;1;0,0014;2;279
active_sanity;2;0,0027;7;1818
iconv;3;0,0041;32;16115
