GemName;Usage(GS);%Usage;Usage(NR);Downloads
amqp;5;0,0068;79;240875
bertrpc;1;0,0014;11;12532
breakout_parser;1;0,0014;2;18202
csvscan;1;0,0014;8;2478
inifile;1;0,0014;5;15192
minion;1;0,0014;10;21253
zipruby;4;0,0054;79;35979
validates_email;1;0,0014;3;1162
wikicloth;1;0,0014;1;4874
rrd-ffi;1;0,0014;1;5535
sorted;2;0,0027;1;2991
paypal;1;0,0014;24;6403
dineromail;1;0,0014;1;556
big_sitemap;1;0,0014;19;1981
inploy;1;0,0014;10;13398
quick_magick;3;0,0041;6;8165
phoney;1;0,0014;2;1764
laserlemon-vestal_versions;1;0,0014;17;0
phocus;1;0,0014;2;2511
mongrel_cluster;1;0,0014;32;87809
gem_plugin;2;0,0027;554;671849
decisiv-acts_as_versioned;1;0,0014;1;0
decisiv-grouped_scope;1;0,0014;1;0
data_uri;2;0,0027;2;991
ruby-bitly;2;0,0027;3;4053
lorax;1;0,0014;12;2005
active_enum;1;0,0014;7;11027
my_obfuscate;1;0,0014;1;2233
rspec-set;1;0,0014;3;710
backgroundrb-rails3;1;0,0014;4;2992
ruby-xslt;1;0,0014;13;35970
acts_as_localizable;2;0,0027;1;1611
socksify;1;0,0014;2;6424
pdf-stamper;1;0,0014;1;941
pdf-toolkit;1;0,0014;15;5404
pdf_utils;1;0,0014;1;532
seedbank;1;0,0014;6;1429
curb-fu;2;0,0027;15;6640
sketches;1;0,0014;16;15240
validatable;4;0,0054;125;41848
config_object;3;0,0041;1;634
html_to_plain_text;1;0,0014;3;502
last_mod_cache;1;0,0014;2;305
brightcove-api;1;0,0014;11;4228
acts_as_revisionable;1;0,0014;3;2345
memory_test_fix;1;0,0014;4;2880
rufus-mnemo;1;0,0014;15;10367
lumberjack;2;0,0027;8;1311
whiskey_disk;1;0,0014;6;8550
mongoid_auto_inc;1;0,0014;3;782
mixpanel_client;2;0,0027;13;5160
vanities;2;0,0027;3;563
parseconfig;1;0,0014;2;15764
enumerations_mixin;1;0,0014;5;1043
sequel_rails3;2;0,0027;1;1134
redns;3;0,0041;1;3564
whois;3;0,0041;26;34541
em-mysql;2;0,0027;1;2639
text-hyphen;1;0,0014;34;132839
freshbooks;1;0,0014;6;1909
ruby-taglib2;1;0,0014;1;1688
comfortable_mexican_sofa;1;0,0014;11;18737
aws-ext;2;0,0027;3;1941
timeliness;1;0,0014;180;36139
sunspot_test;1;0,0014;3;1051
file-utils;1;0,0014;3;1931
tvdb_party;1;0,0014;4;5523
cups;1;0,0014;3;2627
bridge;2;0,0027;1;12371
proxies;1;0,0014;231;30509
beaconpush;1;0,0014;1;766
googlepagerank;1;0,0014;5;2681
pauldix-feedzirra;1;0,0014;54;0
bcurren-freshbooks.rb;1;0,0014;7;0
statsmix;1;0,0014;1;791
ohai;1;0,0014;18;375139
oauth2-provider;1;0,0014;4;8867
jwt;2;0,0027;37;18006
faraday-stack;1;0,0014;45;16660
i18n-inflector-rails;1;0,0014;6;16054
fixture_builder;1;0,0014;12;19312
klout;1;0,0014;1;614
spectator-validates_email;2;0,0027;6;3556
carrot;1;0,0014;16;12328
elkinsware-erubis_rails_helper;1;0,0014;7;0
reliable-msg;1;0,0014;7;3973
celerity;1;0,0014;549;360252
activerecord-jdbcmssql-adapter;1;0,0014;2;6436
jdbc-sqlite3;1;0,0014;2;41397
activemdb;1;0,0014;1;2795
firewatir;1;0,0014;14;98850
mootools-rails;1;0,0014;4;1356
valium;2;0,0027;6;888
rack-gridfs;1;0,0014;10;2228
active_merchant_first_data;1;0,0014;1;116
localtunnel;1;0,0014;4;5048
